ip,city,region,country,loc,timezone,country_name,latitude,longitude,org,hostname,postal,bogon
101.199.108.59,Beijing,Beijing,CN,"39.9075,116.3972",Asia/Shanghai,China,39.9075,116.3972,,,,
101.226.167.226,Shanghai,Shanghai,CN,"31.2222,121.4581",Asia/Shanghai,China,31.2222,121.4581,AS4812 China Telecom (Group),,,
107.178.37.48,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS174 Cogent Communications,107-178-37-48.ip.cloudmosa.com,95103,
107.178.38.221,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS174 Cogent Communications,107-178-38-221.ip.cloudmosa.com,95103,
107.21.14.116,Ashburn,Virginia,US,"39.0437,-77.4875",America/New_York,United States,39.0437,-77.4875,"AS14618 Amazon.com, Inc.",ec2-107-21-14-116.compute-1.amazonaws.com,20147,
107.6.95.11,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,11.0/25.95.6.107.in-addr.arpa,95103,
107.6.95.122,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,122.0/25.95.6.107.in-addr.arpa,95103,
107.6.95.13,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,13.0/25.95.6.107.in-addr.arpa,95103,
107.6.95.16,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,16.0/25.95.6.107.in-addr.arpa,95103,
107.6.95.20,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,20.0/25.95.6.107.in-addr.arpa,95103,
107.6.95.21,San Jose,California,US,"37.3394,-121.8950",America/Los_Angeles,United States,37.3394,-121.8950,AS29791 Internap Holding LLC,21.0/25.95.6.107.in-addr.arpa,95103,
108.168.250.12,Dallas,Texas,US,"32.7831,-96.8067",America/Chicago,United States,32.7831,-96.8067,AS36351 SoftLayer Technologies Inc.,c.fa.a86c.ip4.static.sl-reverse.com,75201,
108.59.8.80,Washington,"Washington, D.C.",US,"38.8951,-77.0364",America/New_York,United States,38.8951,-77.0364,"AS30633 Leaseweb USA, Inc.",crawl-z9ktr3.mj12bot.com,20004,
109.107.105.181,Montilla,Andalusia,ES,"37.5863,-4.6380",Europe/Madrid,Spain,37.5863,-4.6380,"AS200845 AVATEL TELECOM, SA",,14550,
109.111.118.37,Andorra la Vella,Andorra la Vella,AD,"42.5078,1.5211",Europe/Andorra,Andorra,42.5078,1.5211,AS6752 ANDORRA TELECOM SAU,m-109-111-118-37.andorpac.ad,AD500,
109.111.120.188,Andorra la Vella,Andorra la Vella,AD,"42.5078,1.5211",Europe/Andorra,Andorra,42.5078,1.5211,AS6752 ANDORRA TELECOM SAU,,AD500,
109.120.157.179,Saint Petersburg,St.-Petersburg,RU,"59.9386,30.3141",Europe/Moscow,Russia,59.9386,30.3141,AS30968 OOO National Telecommunications,109.120.157.179.addr.datapoint.ru,190000,
109.200.159.118,Krasnodar,Krasnodarskiy,RU,"45.0448,38.9760",Europe/Moscow,Russia,45.0448,38.9760,AS6789 CRELCOM LLC,ip118-159-200-109.crelcom.ru,350000,
109.205.137.141,Motril,Andalusia,ES,"36.7507,-3.5179",Europe/Madrid,Spain,36.7507,-3.5179,AS209984 Iberwix Telecom SL,,18600,
109.208.120.233,Châtillon,Île-de-France,FR,"48.8024,2.2935",Europe/Paris,France,48.8024,2.2935,AS3215 Orange S.A.,lfbn-mar-1-574-233.w109-208.abo.wanadoo.fr,92320,
109.211.53.111,Nantes,Pays de la Loire,FR,"47.2172,-1.5534",Europe/Paris,France,47.2172,-1.5534,AS3215 Orange S.A.,anantes-653-1-178-111.w109-211.abo.wanadoo.fr,44000,
109.217.107.218,Ammertzwiller,Grand Est,FR,"47.6892,7.1682",Europe/Paris,France,47.6892,7.1682,AS3215 Orange S.A.,,68210,
109.235.22.27,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS34471 Free Technologies Excom S.L.,ip027.net109-235-22.es.excom.net,28001,
109.27.131.25,Thonon-les-Bains,Auvergne-Rhône-Alpes,FR,"46.3705,6.4798",Europe/Paris,France,46.3705,6.4798,AS15557 SFR SA,25.131.27.109.rev.sfr.net,74200,
109.8.122.25,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",Europe/Paris,France,43.2970,5.3811,AS15557 SFR SA,25.122.8.109.rev.sfr.net,13000,
112.200.39.14,Quezon City,Metro Manila,PH,"14.6914,120.9686",Asia/Manila,Philippines,14.6914,120.9686,AS9299 Philippine Long Distance Telephone Company,112.200.39.14.pldt.net,1441,
112.90.194.41,Guangzhou,Guangdong,CN,"23.1167,113.2500",Asia/Shanghai,China,23.1167,113.2500,AS17816 China Unicom  IP network China169 Guangdong province,,,
113.196.128.59,Taipei,Taiwan,TW,"25.0478,121.5319",Asia/Taipei,Taiwan,25.0478,121.5319,"AS9919 New Century InfoComm Tech Co., Ltd.",113.196.128.59.ll.static.sparqnet.net,,
114.24.157.104,Taipei,Taiwan,TW,"25.0478,121.5319",Asia/Taipei,Taiwan,25.0478,121.5319,AS3462 Data Communication Business Group,114-24-157-104.dynamic-ip.hinet.net,,
114.26.127.57,Fengyuan,Taiwan,TW,"24.2500,120.7169",Asia/Taipei,Taiwan,24.2500,120.7169,AS3462 Data Communication Business Group,114-26-127-57.dynamic-ip.hinet.net,,
